Date,Closing,Volume,Open,High,Low
2024-12-13,21.151,3453100,21.3266,21.3656,21.0828
2024-12-16,20.956,3888455,20.9365,21.0925,20.8877
2024-12-17,21.19,4757804,21.2583,21.4338,21.1608
2024-12-18,20.3904,3633611,21.0145,21.1315,20.3075
2024-12-19,20.1466,4415755,20.3807,20.4197,20.0686
2024-12-20,20.4977,5678656,20.3319,20.6342,20.2636
2024-12-23,20.6342,2500443,20.4294,20.683,20.4002
2024-12-24,20.6147,979891,20.4977,20.6396,20.4684
2024-12-26,20.6537,1308679,20.6537,20.7512,20.6049
2024-12-27,20.9267,1936890,20.9657,20.9901,20.7951
2024-12-30,20.683,1934541,20.5952,20.8,20.5269
2024-12-31,20.6342,1186074,20.7025,20.7805,20.6049
2025-01-02,20.5659,2642074,20.7415,20.8,20.4977
2025-01-03,20.7902,2299696,20.6537,20.8195,20.5854
2025-01-06,20.3807,3402941,20.5659,20.6342,20.3709
2025-01-07,20.3904,2719226,20.5367,20.6635,20.366
2025-01-08,20.2539,3277629,20.2149,20.2978,20.0442
2025-01-10,19.8443,4818038,19.9418,20.0686,19.7419
2025-01-13,19.7078,2699015,19.6883,19.8443,19.6152
2025-01-14,19.386,4312635,19.5908,19.6688,19.3567
2025-01-15,19.9906,4733858,19.9711,20.0003,19.7858
2025-01-16,19.8248,4476012,20.0101,20.0101,19.7966
2025-01-17,20.1271,2993112,20.0979,20.1856,20.0296
2025-01-21,20.3807,3143795,20.2734,20.4538,20.2246
2025-01-22,20.4002,3345623,20.4489,20.523,20.3417
2025-01-23,20.839,4099148,20.5952,20.8536,20.5952
2025-01-24,20.3124,4874118,20.288,20.4587,20.1954
2025-01-27,20.4782,4190386,20.3904,20.4928,20.3173
2025-01-28,21.268,4032190,21.0145,21.3802,20.8585
2025-01-29,21.5801,4984429,21.6679,21.7459,21.4338
2025-01-30,21.7459,3413933,21.7069,21.8385,21.5557
2025-01-31,21.4631,2376170,21.6386,21.6727,21.3851
2025-02-03,21.3461,3141911,21.1608,21.4436,21.1315
2025-02-04,21.9604,4110124,21.7849,21.9897,21.7166
2025-02-05,22.3505,3874147,22.2334,22.3895,22.1896
2025-02-06,22.4382,3000941,22.4285,22.4772,22.3407
2025-02-07,22.0092,4207273,22.4187,22.4187,21.9897
2025-02-10,21.8629,3465920,22.0092,22.0384,21.8336
2025-02-11,21.8044,4204017,21.7069,21.8531,21.7069
2025-02-12,21.4241,4931006,21.2973,21.4631,21.0828
2025-02-13,22.6138,6551204,22.682,23.4329,22.4675
2025-02-14,23.5401,5033373,23.5109,23.6474,23.3451
2025-02-18,23.9107,7072414,24.1594,24.2618,23.8034
2025-02-19,24.1057,4016806,24.018,24.1622,23.9107
2025-02-20,24.3008,2825131,24.213,24.3288,24.1009
2025-02-21,24.1642,5048404,24.6226,24.6616,24.0862
2025-02-24,24.1837,2721337,24.2618,24.2959,23.9594
2025-02-25,24.447,5791804,24.5543,24.6421,24.369
2025-02-26,24.8273,3657368,24.6518,24.998,24.6372
2025-02-27,24.408,4035210,24.7493,24.8469,24.371
2025-02-28,24.4178,2736507,24.174,24.4373,24.096
2025-03-03,23.979,2579074,24.1837,24.4178,23.8815
2025-03-04,23.5694,4295807,23.4134,23.7927,23.1355
2025-03-05,23.7352,3469539,23.3549,23.7596,23.3256
2025-03-06,23.7937,6209587,24.0862,24.2033,23.7693
2025-03-07,23.5499,3617203,23.5499,23.5987,23.0282
2025-03-10,22.2822,4485800,22.6235,22.643,22.1554
2025-03-11,22.3797,4370456,22.3115,22.5601,22.1164
2025-03-12,23.1013,5327517,23.1598,23.3256,22.9586
2025-03-13,22.8283,2425957,22.9063,23.0282,22.7834
2025-03-14,23.5011,8642989,23.2769,23.5694,23.2769
2025-03-17,23.901,8709267,23.7644,24.018,23.7059
2025-03-18,23.9107,10612690,23.8327,24.0375,23.6279
2025-03-19,24.3495,10887270,23.9887,24.4665,23.9205
2025-03-20,24.2715,4338288,24.057,24.3105,24.0082
2025-03-21,24.6031,24505940,24.6469,24.842,24.5104
2025-03-24,24.6421,13640010,24.6128,24.6664,24.4519
2025-03-25,24.6323,3278886,24.6031,24.6323,24.4812
2025-03-26,24.8664,4889505,24.8664,24.9931,24.7786
2025-03-27,25.0029,5711584,24.7201,25.1394,24.7201
2025-03-28,24.4665,5571606,24.6323,24.7201,24.3495
2025-03-31,24.7591,6441281,24.4227,24.8078,24.3495
2025-04-01,24.5446,10219110,24.5884,24.6586,24.096
2025-04-02,24.2228,4695992,23.9107,24.2998,23.8376
2025-04-03,22.799,6473463,22.9258,23.4231,22.7795
2025-04-04,21.2778,7990933,21.7166,21.936,21.2193
2025-04-07,20.7122,10610300,19.9126,21.6386,19.9126
2025-04-08,20.7902,5512796,21.7459,21.9311,20.6049
2025-04-09,22.3992,7765133,20.7805,22.5601,20.57
2025-04-10,22.3505,8913651,22.9356,22.9892,21.6679
2025-04-11,22.37,4791441,21.9702,22.4431,21.7312
2025-04-14,22.8575,4535977,22.7015,22.9941,22.6089
2025-04-15,23.0916,2635929,22.9746,23.1891,22.9746
2025-04-16,22.7795,3447362,22.9648,23.0184,22.5752
2025-04-17,23.4134,4549522,23.4036,23.6572,23.3256
2025-04-21,23.1598,3403478,23.3159,23.3939,22.9356
2025-04-22,23.7254,4681080,23.4914,23.7547,23.4719
2025-04-23,24.2715,3101675,24.3885,24.5982,24.174
2025-04-24,24.4958,3193782,24.2033,24.4958,24.1496
2025-04-25,24.3495,2602294,24.2033,24.3495,24.0869
2025-04-28,24.6518,8671262,24.1252,24.8176,24.0765
2025-04-29,25.1101,7305987,24.8956,25.2564,24.7103
2025-04-30,25.3539,6370843,25.0614,25.4319,24.6469
2025-05-01,24.6518,7461417,24.92,24.9249,24.6079
2025-05-02,24.7006,6866497,24.408,24.7981,24.3398
2025-05-05,24.6128,5593254,24.5738,24.7298,24.5153
2025-05-06,24.6031,5322946,24.6421,24.7006,24.4763
2025-05-07,24.3983,4848328,24.369,24.663,24.2081
2025-05-08,23.8424,5040884,23.8327,24.1155,23.7449
2025-05-09,24.0862,3015857,24.0667,24.1935,24.0376
2025-05-12,24.1252,7759684,24.1837,24.2813,23.979
2025-05-13,23.9302,12707900,24.174,24.2764,23.8912
2025-05-14,24.2618,13840450,24.6226,24.9834,24.1837
2025-05-15,24.252,13791740,24.4763,24.5251,24.2179
2025-05-16,24.0667,4069563,24.0277,24.1447,23.8668
2025-05-19,24.4178,7554459,24.0375,24.4373,23.979
2025-05-20,25.1589,7332757,24.8859,25.3052,24.5933
2025-05-21,24.2715,5083419,24.8127,24.8566,24.2618
2025-05-22,24.7006,5037019,24.7103,24.8078,24.5543
2025-05-23,24.8956,6527676,24.7298,25.0321,24.6616
2025-05-27,25.9,6992462,25.3734,25.9378,25.3149
2025-05-28,25.6465,6134771,25.6855,25.7635,25.5538
2025-05-29,25.9585,10688720,26.2754,26.2754,25.8415
2025-05-30,25.7245,6793014,25.8025,25.8513,25.4222
2025-06-02,26.2121,6198737,25.8171,26.2706,25.8025
2025-06-03,26.1048,5805325,26.0268,26.2121,26.0268
2025-06-04,26.0073,3289827,26.0853,26.1145,25.939
2025-06-05,25.6757,4180788,25.822,25.8903,25.6026
2025-06-06,25.9975,2952479,26.0073,26.0707,25.9293
2025-06-09,25.9293,3611240,25.8415,26.0268,25.8122
